Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
STR_40_11,mini_1a28_model0_chainB_STR_resi2__chainB_1,1.155,0.783,0.373
STR_11_1,mini_1a28_model0_chainB_STR_resi2__chainB_1,1.154,0.776,0.378
STR_30_0,mini_1a28_model0_chainB_STR_resi2__chainB_1,1.141,0.746,0.395
NPC_48_70,mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_1,1.092,0.759,0.333
NPC_82_56,mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_1,1.028,0.647,0.38
NPC_81_152,mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_1,1.012,0.718,0.293
SB2_39_14,mini_1a9u_model0_chainA_SB2_resi800__chainA_1,0.988,0.603,0.385
SB2_42_74,mini_1a9u_model0_chainA_SB2_resi800__chainA_1,0.945,0.723,0.222
SB2_47_77,mini_1a9u_model0_chainA_SB2_resi800__chainA_1,0.943,0.634,0.309
ALZ_31_280,mini_1afe_model0_chainH_ALZ_resi600__chainH_1,0.887,0.737,0.15
ALZ_23_116,mini_1afe_model0_chainH_ALZ_resi600__chainH_1,0.856,0.614,0.242
ALZ_30_231,mini_1afe_model0_chainH_ALZ_resi600__chainH_1,0.853,0.661,0.192
NPE_44_103,mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_1,1.128,0.704,0.424
NPE_22_189,mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_1,1.126,0.829,0.297
NPE_38_68,mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_1,1.073,0.782,0.291
IN4_31_217,mini_1az8_model0_chainA_IN4_resi1__chainA_1,0.921,0.676,0.245
IN4_4_96,mini_1az8_model0_chainA_IN4_resi1__chainA_1,0.915,0.671,0.245
IN4_30_143,mini_1az8_model0_chainA_IN4_resi1__chainA_1,0.869,0.629,0.24
RDC_24_11,mini_1bgq_model0_chainA_RDC_resi300__chainA_1,0.935,0.57,0.365
RDC_28_7,mini_1bgq_model0_chainA_RDC_resi300__chainA_1,0.924,0.6,0.324
RDC_27_6,mini_1bgq_model0_chainA_RDC_resi300__chainA_1,0.918,0.616,0.302
SB4_53_176,mini_1bl7_model0_chainA_SB4_resi800__chainA_1,0.94,0.695,0.245
SB4_17_101,mini_1bl7_model0_chainA_SB4_resi800__chainA_1,0.918,0.619,0.299
SB4_76_79,mini_1bl7_model0_chainA_SB4_resi800__chainA_1,0.907,0.695,0.212
SB5_73_11,mini_1bmk_model0_chainA_SB5_resi800__chainA_1,1.042,0.661,0.381
SB5_55_0,mini_1bmk_model0_chainA_SB5_resi800__chainA_1,0.977,0.654,0.322
SB5_15_21,mini_1bmk_model0_chainA_SB5_resi800__chainA_1,0.967,0.727,0.24
GCA_9_148,mini_1c1b_model0_chainA_GCA_resi999__chainA_1,1.143,0.738,0.405
GCA_3_18,mini_1c1b_model0_chainA_GCA_resi999__chainA_1,1.075,0.756,0.318
GCA_7_186,mini_1c1b_model0_chainA_GCA_resi999__chainA_1,1.07,0.619,0.451
612_23_160,mini_1c1c_model0_chainA_612_resi999__chainA_1,1.01,0.767,0.243
612_1_67,mini_1c1c_model0_chainA_612_resi999__chainA_1,0.993,0.628,0.365
612_32_24,mini_1c1c_model0_chainA_612_resi999__chainA_1,0.955,0.602,0.353
ENH_2_0,mini_1c1e_model0_chainH_ENH_resi703__chainH_1,1.238,0.585,0.653
ENH_16_0,mini_1c1e_model0_chainH_ENH_resi703__chainH_1,1.198,0.659,0.539
ENH_41_14,mini_1c1e_model0_chainH_ENH_resi703__chainH_1,1.175,0.59,0.585
ESI_5_15,mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_1,1.027,0.828,0.198
ESI_46_8,mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_1,1.026,0.636,0.389
ESI_15_9,mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_1,1.018,0.591,0.427
BPP_31_282,mini_1d4p_model0_chainB_BPP_resi400__chainB_1,0.984,0.745,0.239
BPP_36_149,mini_1d4p_model0_chainB_BPP_resi400__chainB_1,0.912,0.515,0.397
BPP_34_5,mini_1d4p_model0_chainB_BPP_resi400__chainB_1,0.889,0.584,0.305
HOP_49_86,mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH_1,0.851,0.654,0.198
HOP_28_291,mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH_1,0.823,0.657,0.165
HOP_38_174,mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH_1,0.817,0.696,0.121
MXA_92_185,mini_1dlr_model0_chainA_MXA_resi188__chainA_1,1.272,0.737,0.534
MXA_1_147,mini_1dlr_model0_chainA_MXA_resi188__chainA_1,1.111,0.758,0.353
MXA_98_19,mini_1dlr_model0_chainA_MXA_resi188__chainA_1,1.06,0.751,0.309
LY2_72_4,mini_1e7v_model0_chainA_LY2_resi3095__chainA_1,1.25,0.677,0.573
LY2_63_4,mini_1e7v_model0_chainA_LY2_resi3095__chainA_1,1.15,0.79,0.36
LY2_65_6,mini_1e7v_model0_chainA_LY2_resi3095__chainA_1,1.146,0.788,0.357
HEP_42_243,mini_1eap_model0_chainB_HEP_resi222__chainA_chainB_1,0.944,0.567,0.376
HEP_16_223,mini_1eap_model0_chainB_HEP_resi222__chainA_chainB_1,0.94,0.651,0.289
HEP_24_296,mini_1eap_model0_chainB_HEP_resi222__chainA_chainB_1,0.91,0.668,0.242
AGB_2_2,mini_1ejn_model0_chainA_AGB_resi800__chainA_1,0.945,0.728,0.217
AGB_7_22,mini_1ejn_model0_chainA_AGB_resi800__chainA_1,0.878,0.675,0.203
AGB_38_79,mini_1ejn_model0_chainA_AGB_resi800__chainA_1,0.861,0.698,0.163
R99_6_139,mini_1ewl_model0_chainA_R99_resi280__chainA_1,0.903,0.535,0.368
R99_39_153,mini_1ewl_model0_chainA_R99_resi280__chainA_1,0.876,0.492,0.384
R99_11_93,mini_1ewl_model0_chainA_R99_resi280__chainA_1,0.846,0.52,0.327
RL2_43_40,mini_1ewm_model0_chainA_RL2_resi280__chainA_1,0.917,0.593,0.324
RL2_3_156,mini_1ewm_model0_chainA_RL2_resi280__chainA_1,0.864,0.526,0.339
RL2_46_31,mini_1ewm_model0_chainA_RL2_resi280__chainA_1,0.837,0.499,0.338
EFZ_31_1,mini_1fk9_model0_chainA_EFZ_resi999__chainA_1,1.144,0.656,0.488
EFZ_48_0,mini_1fk9_model0_chainA_EFZ_resi999__chainA_1,1.021,0.647,0.374
EFZ_9_9,mini_1fk9_model0_chainA_EFZ_resi999__chainA_1,0.984,0.548,0.435
BRL_58_285,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,1.048,0.81,0.238
BRL_45_61,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,1.014,0.633,0.381
BRL_23_298,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.972,0.634,0.338
PRC_28_12,mini_1fpu_model0_chainB_PRC_resi2__chainB_1,0.987,0.742,0.246
PRC_27_34,mini_1fpu_model0_chainB_PRC_resi2__chainB_1,0.967,0.726,0.24
PRC_32_1,mini_1fpu_model0_chainB_PRC_resi2__chainB_1,0.959,0.691,0.268
9AR_8_57,mini_1fv0_model0_chainA_9AR_resi401__chainA_1,0.919,0.715,0.204
9AR_43_4,mini_1fv0_model0_chainA_9AR_resi401__chainA_1,0.894,0.689,0.205
9AR_36_25,mini_1fv0_model0_chainA_9AR_resi401__chainA_1,0.892,0.7,0.192
106_4_132,mini_1fvt_model0_chainA_106_resi299__chainA_1,1.067,0.703,0.363
106_38_108,mini_1fvt_model0_chainA_106_resi299__chainA_1,1.009,0.774,0.235
106_23_11,mini_1fvt_model0_chainA_106_resi299__chainA_1,0.96,0.733,0.228
PNN_45_15,mini_1fxv_model0_chainB_PNN_resi1001__chainB_1,1.026,0.682,0.344
PNN_11_41,mini_1fxv_model0_chainB_PNN_resi1001__chainB_1,0.992,0.684,0.309
PNN_36_196,mini_1fxv_model0_chainB_PNN_resi1001__chainB_1,0.988,0.719,0.269
RQ3_18_76,mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA_1,1.053,0.773,0.28
RQ3_17_34,mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA_1,1.017,0.736,0.281
RQ3_49_244,mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA_1,1.0,0.709,0.291
FAF_17_19,mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB_1,1.002,0.699,0.303
FAF_12_36,mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB_1,1.001,0.775,0.226
FAF_1_223,mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB_1,0.992,0.651,0.34
1PU_23_16,mini_1gii_model0_chainA_1PU_resi501__chainA_1,1.138,0.657,0.481
1PU_2_195,mini_1gii_model0_chainA_1PU_resi501__chainA_1,1.079,0.779,0.3
1PU_8_0,mini_1gii_model0_chainA_1PU_resi501__chainA_1,1.039,0.703,0.336
2PU_41_15,mini_1gij_model0_chainA_2PU_resi501__chainA_1,1.015,0.651,0.364
2PU_32_98,mini_1gij_model0_chainA_2PU_resi501__chainA_1,0.957,0.648,0.31
2PU_38_91,mini_1gij_model0_chainA_2PU_resi501__chainA_1,0.937,0.646,0.291
132_32_85,mini_1gj4_model0_chainH_132_resi410__chainH_altA_1,1.143,0.784,0.36
132_23_34,mini_1gj4_model0_chainH_132_resi410__chainH_altA_1,1.131,0.841,0.29
132_29_45,mini_1gj4_model0_chainH_132_resi410__chainH_altA_1,1.13,0.813,0.317
130_39_0,mini_1gj5_model0_chainH_130_resi410__chainH_altB_1,1.043,0.704,0.339
130_47_15,mini_1gj5_model0_chainH_130_resi410__chainH_altB_1,1.027,0.746,0.281
130_5_173,mini_1gj5_model0_chainH_130_resi410__chainH_altB_1,0.996,0.745,0.251
133_5_78,mini_1gj8_model0_chainB_133_resi251__chainB_altB_1,1.067,0.782,0.285
133_28_59,mini_1gj8_model0_chainB_133_resi251__chainB_altB_1,0.984,0.788,0.196
133_27_273,mini_1gj8_model0_chainB_133_resi251__chainB_altB_1,0.963,0.779,0.183
2A6_18_0,mini_1h1q_model0_chainC_2A6_resi1298__chainC_1,1.169,0.763,0.406
2A6_23_12,mini_1h1q_model0_chainC_2A6_resi1298__chainC_1,1.075,0.738,0.338
2A6_46_31,mini_1h1q_model0_chainC_2A6_resi1298__chainC_1,1.074,0.797,0.277
GZZ_2_176,mini_1h82_model0_chainA_GZZ_resi590__chainA_1,0.904,0.657,0.247
GZZ_3_259,mini_1h82_model0_chainA_GZZ_resi590__chainA_1,0.863,0.616,0.247
GZZ_11_117,mini_1h82_model0_chainA_GZZ_resi590__chainA_1,0.679,0.589,0.09
RWF_20_0,mini_1h9z_model0_chainA_RWF_resi3001__chainA_1,1.091,0.741,0.35
RWF_8_5,mini_1h9z_model0_chainA_RWF_resi3001__chainA_1,1.01,0.751,0.259
RWF_9_20,mini_1h9z_model0_chainA_RWF_resi3001__chainA_1,1.009,0.711,0.297
SWF_38_6,mini_1ha2_model0_chainA_SWF_resi3001__chainA_1,1.127,0.781,0.347
SWF_10_1,mini_1ha2_model0_chainA_SWF_resi3001__chainA_1,1.084,0.806,0.278
SWF_42_10,mini_1ha2_model0_chainA_SWF_resi3001__chainA_1,1.053,0.758,0.295
BNI_19_147,mini_1i9h_model0_chainB_BNI_resi502__chainB_1,0.986,0.74,0.246
BNI_7_295,mini_1i9h_model0_chainB_BNI_resi502__chainB_1,0.917,0.69,0.227
BNI_26_114,mini_1i9h_model0_chainB_BNI_resi502__chainB_1,0.911,0.793,0.117
ICL_18_49,mini_1inc_model0_chainA_ICL_resi260__chainA_1,0.951,0.709,0.242
ICL_42_34,mini_1inc_model0_chainA_ICL_resi260__chainA_1,0.92,0.726,0.194
ICL_43_62,mini_1inc_model0_chainA_ICL_resi260__chainA_1,0.896,0.702,0.194
BB2_31_6,mini_1ix1_model0_chainA_BB2_resi1301__chainA_1,0.909,0.672,0.237
BB2_34_273,mini_1ix1_model0_chainA_BB2_resi1301__chainA_1,0.854,0.619,0.235
BB2_13_266,mini_1ix1_model0_chainA_BB2_resi1301__chainA_1,0.851,0.631,0.22
TNK_17_297,mini_1jla_model0_chainA_TNK_resi999__chainA_1,0.96,0.669,0.292
TNK_13_222,mini_1jla_model0_chainA_TNK_resi999__chainA_1,0.924,0.595,0.329
TNK_31_18,mini_1jla_model0_chainA_TNK_resi999__chainA_1,0.904,0.664,0.239
BRZ_20_1,mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA_1,0.985,0.756,0.229
BRZ_49_0,mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA_1,0.962,0.777,0.185
BRZ_47_26,mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA_1,0.949,0.751,0.198
LS1_16_74,mini_1ke5_model0_chainA_LS1_resi299__chainA_1,1.385,0.869,0.516
LS1_35_141,mini_1ke5_model0_chainA_LS1_resi299__chainA_1,1.185,0.76,0.425
LS1_49_27,mini_1ke5_model0_chainA_LS1_resi299__chainA_1,1.104,0.673,0.431
LS2_13_233,mini_1ke6_model0_chainA_LS2_resi299__chainA_1,1.002,0.653,0.349
LS2_9_75,mini_1ke6_model0_chainA_LS2_resi299__chainA_1,1.001,0.7,0.3
LS2_35_29,mini_1ke6_model0_chainA_LS2_resi299__chainA_1,0.944,0.688,0.256
LS4_60_15,mini_1ke8_model0_chainA_LS4_resi299__chainA_1,1.017,0.77,0.247
LS4_45_121,mini_1ke8_model0_chainA_LS4_resi299__chainA_1,0.984,0.699,0.286
LS4_67_10,mini_1ke8_model0_chainA_LS4_resi299__chainA_1,0.922,0.534,0.388
LIH_142_111,mini_1kms_model0_chainA_LIH_resi201__chainA_altA_1,1.099,0.834,0.264
LIH_106_115,mini_1kms_model0_chainA_LIH_resi201__chainA_altA_1,1.08,0.634,0.446
LIH_109_126,mini_1kms_model0_chainA_LIH_resi201__chainA_altA_1,1.077,0.702,0.376
BMU_33_7,mini_1kv1_model0_chainA_BMU_resi391__chainA_1,1.291,0.771,0.521
BMU_18_2,mini_1kv1_model0_chainA_BMU_resi391__chainA_1,1.181,0.715,0.466
BMU_36_2,mini_1kv1_model0_chainA_BMU_resi391__chainA_1,1.18,0.841,0.339
STC_14_0,mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA_1,1.269,0.836,0.433
STC_12_0,mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA_1,1.258,0.826,0.431
STC_13_48,mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA_1,1.254,0.82,0.434
CYZ_32_0,mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC_1,1.069,0.668,0.402
CYZ_41_18,mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC_1,1.041,0.623,0.418
CYZ_23_80,mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC_1,0.973,0.729,0.244
ESM_31_4,mini_1lhw_model0_chainA_ESM_resi301__chainA_altA_1,1.156,0.778,0.377
ESM_16_0,mini_1lhw_model0_chainA_ESM_resi301__chainA_altA_1,1.146,0.819,0.327
ESM_4_21,mini_1lhw_model0_chainA_ESM_resi301__chainA_altA_1,1.13,0.727,0.404
DOG_50_1,mini_1lke_model0_chainA_DOG_resi500__chainA_1,0.865,0.657,0.208
DOG_47_27,mini_1lke_model0_chainA_DOG_resi500__chainA_1,0.861,0.656,0.205
DOG_45_3,mini_1lke_model0_chainA_DOG_resi500__chainA_1,0.856,0.646,0.21
DTX_38_154,mini_1lnm_model0_chainA_DTX_resi700__chainA_1,1.065,0.666,0.398
DTX_26_40,mini_1lnm_model0_chainA_DTX_resi700__chainA_1,1.008,0.688,0.32
DTX_7_38,mini_1lnm_model0_chainA_DTX_resi700__chainA_1,0.951,0.736,0.216
BC1_10_125,mini_1lo0_model0_chainY_BC1_resi500__chainY_1,1.014,0.578,0.437
BC1_17_195,mini_1lo0_model0_chainY_BC1_resi500__chainY_1,1.003,0.616,0.387
BC1_39_6,mini_1lo0_model0_chainY_BC1_resi500__chainY_1,0.987,0.519,0.469
COG_50_252,mini_1ly3_model0_chainA_COG_resi307__chainA_1,1.137,0.644,0.493
COG_5_36,mini_1ly3_model0_chainA_COG_resi307__chainA_1,1.1,0.705,0.396
COG_4_207,mini_1ly3_model0_chainA_COG_resi307__chainA_1,1.036,0.648,0.388
RAC_16_179,mini_1mex_model0_chainH_RAC_resi601__chainH_altB_chainL_altA_1,1.014,0.628,0.386
RAC_41_128,mini_1mex_model0_chainH_RAC_resi601__chainH_altB_chainL_altA_1,0.972,0.671,0.3
RAC_15_105,mini_1mex_model0_chainH_RAC_resi601__chainH_altB_chainL_altA_1,0.962,0.614,0.348
DTM_43_66,mini_1mvs_model0_chainA_DTM_resi187__chainA_1,1.028,0.753,0.275
DTM_51_154,mini_1mvs_model0_chainA_DTM_resi187__chainA_1,0.998,0.755,0.243
DTM_37_54,mini_1mvs_model0_chainA_DTM_resi187__chainA_1,0.967,0.731,0.236
PFA_27_40,mini_1n46_model0_chainB_PFA_resi463__chainB_1,1.071,0.81,0.261
PFA_6_115,mini_1n46_model0_chainB_PFA_resi463__chainB_1,1.052,0.743,0.309
PFA_62_137,mini_1n46_model0_chainB_PFA_resi463__chainB_1,1.028,0.766,0.262
794_3_6,mini_1no6_model0_chainA_794_resi322__chainA_1,0.898,0.7,0.198
794_18_5,mini_1no6_model0_chainA_794_resi322__chainA_1,0.895,0.586,0.309
794_21_3,mini_1no6_model0_chainA_794_resi322__chainA_1,0.87,0.666,0.204
696_9_47,mini_1o2g_model0_chainH_696_resi410__chainH_altA_1,1.145,0.795,0.349
696_16_71,mini_1o2g_model0_chainH_696_resi410__chainH_altA_1,1.137,0.787,0.35
696_6_77,mini_1o2g_model0_chainH_696_resi410__chainH_altA_1,1.124,0.775,0.35
CR3_91_4,mini_1o2h_model0_chainA_CR3_resi246__chainA_altB_1,0.98,0.568,0.412
CR3_87_47,mini_1o2h_model0_chainA_CR3_resi246__chainA_altB_1,0.967,0.593,0.373
CR3_24_122,mini_1o2h_model0_chainA_CR3_resi246__chainA_altB_1,0.958,0.742,0.216
762_9_80,mini_1o2l_model0_chainA_762_resi246__chainA_altB_1,1.149,0.821,0.328
762_19_62,mini_1o2l_model0_chainA_762_resi246__chainA_altB_1,1.147,0.837,0.31
762_27_56,mini_1o2l_model0_chainA_762_resi246__chainA_altB_1,1.146,0.838,0.308
950_36_52,mini_1o2o_model0_chainA_950_resi246__chainA_altA_1,0.993,0.736,0.257
950_19_281,mini_1o2o_model0_chainA_950_resi246__chainA_altA_1,0.98,0.691,0.289
950_49_98,mini_1o2o_model0_chainA_950_resi246__chainA_altA_1,0.948,0.614,0.334
972_17_2,mini_1o2p_model0_chainA_972_resi246__chainA_altA_1,1.049,0.807,0.242
972_23_76,mini_1o2p_model0_chainA_972_resi246__chainA_altA_1,0.966,0.735,0.231
972_10_72,mini_1o2p_model0_chainA_972_resi246__chainA_altA_1,0.955,0.734,0.222
991_25_58,mini_1o2q_model0_chainA_991_resi246__chainA_altB_1,1.126,0.824,0.302
991_30_105,mini_1o2q_model0_chainA_991_resi246__chainA_altB_1,1.07,0.789,0.281
991_11_39,mini_1o2q_model0_chainA_991_resi246__chainA_altB_1,1.067,0.814,0.253
