Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
STR_7_0,mini_1a28_model0_chainB_STR_resi2__chainB_1,1.116,0.746,0.37
STR_16_4,mini_1a28_model0_chainB_STR_resi2__chainB_1,0.998,0.718,0.279
STR_29_197,mini_1a28_model0_chainB_STR_resi2__chainB_1,0.977,0.716,0.262
NPC_10_82,mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_1,0.948,0.632,0.316
NPC_32_23,mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_1,0.861,0.639,0.222
NPC_14_173,mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_1,0.858,0.63,0.228
SB2_1_0,mini_1a9u_model0_chainA_SB2_resi800__chainA_1,0.948,0.691,0.257
SB2_30_11,mini_1a9u_model0_chainA_SB2_resi800__chainA_1,0.911,0.549,0.362
SB2_12_14,mini_1a9u_model0_chainA_SB2_resi800__chainA_1,0.905,0.592,0.313
ALZ_26_40,mini_1afe_model0_chainH_ALZ_resi600__chainH_1,0.898,0.65,0.248
ALZ_18_7,mini_1afe_model0_chainH_ALZ_resi600__chainH_1,0.888,0.712,0.176
ALZ_32_42,mini_1afe_model0_chainH_ALZ_resi600__chainH_1,0.876,0.73,0.145
NPE_17_5,mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_1,0.985,0.703,0.282
NPE_13_8,mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_1,0.893,0.625,0.269
NPE_19_17,mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_1,0.866,0.652,0.214
RDC_26_36,mini_1bgq_model0_chainA_RDC_resi300__chainA_1,0.942,0.715,0.227
RDC_28_205,mini_1bgq_model0_chainA_RDC_resi300__chainA_1,0.915,0.686,0.229
RDC_19_17,mini_1bgq_model0_chainA_RDC_resi300__chainA_1,0.912,0.643,0.269
SB4_10_3,mini_1bl7_model0_chainA_SB4_resi800__chainA_1,1.079,0.683,0.397
SB4_32_236,mini_1bl7_model0_chainA_SB4_resi800__chainA_1,0.938,0.675,0.263
SB4_1_0,mini_1bl7_model0_chainA_SB4_resi800__chainA_1,0.918,0.596,0.322
SB5_18_279,mini_1bmk_model0_chainA_SB5_resi800__chainA_1,0.993,0.64,0.353
SB5_8_2,mini_1bmk_model0_chainA_SB5_resi800__chainA_1,0.928,0.667,0.262
SB5_21_9,mini_1bmk_model0_chainA_SB5_resi800__chainA_1,0.919,0.625,0.294
GCA_14_17,mini_1c1b_model0_chainA_GCA_resi999__chainA_1,1.029,0.698,0.331
GCA_5_22,mini_1c1b_model0_chainA_GCA_resi999__chainA_1,0.999,0.726,0.273
GCA_25_3,mini_1c1b_model0_chainA_GCA_resi999__chainA_1,0.985,0.68,0.305
612_21_287,mini_1c1c_model0_chainA_612_resi999__chainA_1,1.008,0.677,0.332
612_27_178,mini_1c1c_model0_chainA_612_resi999__chainA_1,0.969,0.728,0.241
612_6_58,mini_1c1c_model0_chainA_612_resi999__chainA_1,0.941,0.608,0.333
ENH_12_7,mini_1c1e_model0_chainH_ENH_resi703__chainH_1,0.944,0.597,0.347
ENH_24_1,mini_1c1e_model0_chainH_ENH_resi703__chainH_1,0.914,0.593,0.321
ENH_4_1,mini_1c1e_model0_chainH_ENH_resi703__chainH_1,0.904,0.576,0.327
ESI_18_7,mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_1,1.143,0.846,0.296
ESI_7_1,mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_1,1.129,0.836,0.293
ESI_32_0,mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_1,1.12,0.706,0.414
BPP_30_163,mini_1d4p_model0_chainB_BPP_resi400__chainB_1,0.993,0.757,0.236
BPP_23_191,mini_1d4p_model0_chainB_BPP_resi400__chainB_1,0.907,0.671,0.236
BPP_9_197,mini_1d4p_model0_chainB_BPP_resi400__chainB_1,0.892,0.7,0.191
HOP_31_113,mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH_1,0.991,0.641,0.35
HOP_16_150,mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH_1,0.937,0.621,0.315
HOP_10_29,mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH_1,0.841,0.482,0.359
MXA_30_5,mini_1dlr_model0_chainA_MXA_resi188__chainA_1,1.03,0.815,0.215
MXA_24_118,mini_1dlr_model0_chainA_MXA_resi188__chainA_1,1.011,0.749,0.262
MXA_20_0,mini_1dlr_model0_chainA_MXA_resi188__chainA_1,1.009,0.75,0.259
LY2_17_1,mini_1e7v_model0_chainA_LY2_resi3095__chainA_1,1.046,0.7,0.346
LY2_20_96,mini_1e7v_model0_chainA_LY2_resi3095__chainA_1,1.043,0.748,0.295
LY2_1_0,mini_1e7v_model0_chainA_LY2_resi3095__chainA_1,1.039,0.665,0.374
HEP_32_61,mini_1eap_model0_chainB_HEP_resi222__chainA_chainB_1,1.0,0.695,0.305
HEP_27_190,mini_1eap_model0_chainB_HEP_resi222__chainA_chainB_1,0.963,0.716,0.247
HEP_6_174,mini_1eap_model0_chainB_HEP_resi222__chainA_chainB_1,0.95,0.633,0.317
AGB_20_45,mini_1ejn_model0_chainA_AGB_resi800__chainA_1,1.034,0.723,0.311
AGB_26_53,mini_1ejn_model0_chainA_AGB_resi800__chainA_1,1.005,0.702,0.303
AGB_24_2,mini_1ejn_model0_chainA_AGB_resi800__chainA_1,0.994,0.57,0.424
R99_3_107,mini_1ewl_model0_chainA_R99_resi280__chainA_1,0.906,0.569,0.337
R99_30_25,mini_1ewl_model0_chainA_R99_resi280__chainA_1,0.899,0.615,0.284
R99_26_4,mini_1ewl_model0_chainA_R99_resi280__chainA_1,0.888,0.66,0.228
RL2_4_88,mini_1ewm_model0_chainA_RL2_resi280__chainA_1,0.953,0.589,0.363
RL2_20_231,mini_1ewm_model0_chainA_RL2_resi280__chainA_1,0.886,0.623,0.262
RL2_23_54,mini_1ewm_model0_chainA_RL2_resi280__chainA_1,0.858,0.489,0.369
EFZ_26_38,mini_1fk9_model0_chainA_EFZ_resi999__chainA_1,1.042,0.671,0.371
EFZ_27_100,mini_1fk9_model0_chainA_EFZ_resi999__chainA_1,0.97,0.595,0.375
EFZ_23_7,mini_1fk9_model0_chainA_EFZ_resi999__chainA_1,0.919,0.701,0.219
BRL_9_166,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.88,0.643,0.236
BRL_2_48,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.833,0.579,0.254
BRL_16_40,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.798,0.622,0.176
