Name,Active,MCS
STR_0,STR,0.533
STR_1,STR,0.243
STR_2,STR,0.704
STR_3,STR,0.533
STR_4,STR,0.643
STR_5,STR,0.4
STR_6,STR,0.643
STR_7,STR,0.84
STR_8,STR,0.533
STR_9,STR,0.586
STR_10,STR,0.704
STR_11,STR,0.533
STR_12,STR,0.769
STR_13,STR,0.417
STR_14,STR,0.37
STR_15,STR,0.84
STR_16,STR,0.704
STR_17,STR,0.586
STR_18,STR,0.586
STR_19,STR,0.286
STR_20,STR,0.704
STR_21,STR,0.704
STR_22,STR,0.25
STR_23,STR,0.769
STR_24,STR,0.704
STR_25,STR,0.586
STR_26,STR,0.769
STR_27,STR,0.643
STR_28,STR,0.769
STR_29,STR,0.704
STR_30,STR,0.353
STR_31,STR,0.769
STR_32,STR,0.484
STR_33,STR,0.704
STR_34,STR,0.68
STR_35,STR,0.704
STR_36,STR,0.533
STR_37,STR,0.394
STR_38,STR,0.769
STR_39,STR,0.643
STR_40,STR,0.769
STR_41,STR,0.704
STR_42,STR,0.792
STR_43,STR,0.643
STR_44,STR,0.643
STR_45,STR,0.769
STR_46,STR,0.5
STR_47,STR,0.481
STR_48,STR,0.769
STR_49,STR,0.484
MDC_0,MDC,0.273
MDC_1,MDC,0.282
MDC_2,MDC,0.279
MDC_3,MDC,0.275
MDC_4,MDC,0.244
MDC_5,MDC,0.256
MDC_6,MDC,0.333
MDC_7,MDC,0.333
MDC_8,MDC,0.258
MDC_9,MDC,0.244
MDC_10,MDC,0.244
MDC_11,MDC,0.279
MDC_12,MDC,0.302
MDC_13,MDC,0.317
MDC_14,MDC,0.302
MDC_15,MDC,0.191
MDC_16,MDC,0.3
MDC_17,MDC,0.167
MDC_18,MDC,0.217
MDC_19,MDC,0.233
MDC_20,MDC,0.273
MDC_21,MDC,0.262
MDC_22,MDC,0.244
MDC_23,MDC,0.366
MDC_24,MDC,0.273
MDC_25,MDC,0.293
MDC_26,MDC,0.273
MDC_27,MDC,0.273
MDC_28,MDC,0.333
MDC_29,MDC,0.071
MDC_30,MDC,0.217
MDC_31,MDC,0.323
MDC_32,MDC,0.217
MDC_33,MDC,0.217
MDC_34,MDC,0.436
MDC_35,MDC,0.302
MDC_36,MDC,0.275
MDC_37,MDC,0.273
MDC_38,MDC,0.244
MDC_39,MDC,0.273
MDC_40,MDC,0.4
MDC_41,MDC,0.273
MDC_42,MDC,0.244
MDC_43,MDC,0.273
MDC_44,MDC,0.071
MDC_45,MDC,0.279
MDC_46,MDC,0.273
MDC_47,MDC,0.143
MDC_48,MDC,0.279
MDC_49,MDC,0.364
NPC_0,NPC,0.345
NPC_1,NPC,0.355
NPC_2,NPC,0.227
NPC_3,NPC,0.31
NPC_4,NPC,0.419
NPC_5,NPC,0.29
NPC_6,NPC,0.294
NPC_7,NPC,0.333
NPC_8,NPC,0.419
NPC_9,NPC,0.257
NPC_10,NPC,0.303
NPC_11,NPC,0.212
NPC_12,NPC,0.458
NPC_13,NPC,0.294
NPC_14,NPC,0.227
NPC_15,NPC,0.222
NPC_16,NPC,0.261
NPC_17,NPC,0.2
NPC_18,NPC,0.536
NPC_19,NPC,0.344
NPC_20,NPC,0.265
NPC_21,NPC,0.417
NPC_22,NPC,0.265
NPC_23,NPC,0.154
NPC_24,NPC,0.333
NPC_25,NPC,0.467
NPC_26,NPC,0.323
NPC_27,NPC,0.692
NPC_28,NPC,0.593
NPC_29,NPC,0.222
NPC_30,NPC,0.167
NPC_31,NPC,0.375
NPC_32,NPC,0.091
NPC_33,NPC,0.303
NPC_34,NPC,0.294
NPC_35,NPC,0.308
NPC_36,NPC,0.294
NPC_37,NPC,0.419
NPC_38,NPC,0.303
NPC_39,NPC,0.615
NPC_40,NPC,0.188
NPC_41,NPC,0.483
NPC_42,NPC,0.259
NPC_43,NPC,0.179
NPC_44,NPC,0.294
NPC_45,NPC,0.414
NPC_46,NPC,0.593
NPC_47,NPC,0.128
NPC_48,NPC,0.25
NPC_49,NPC,0.462
NIP_0,NIP,0.139
NIP_1,NIP,0.344
NIP_2,NIP,0.212
NIP_3,NIP,0.206
NIP_4,NIP,0.194
NIP_5,NIP,0.281
NIP_6,NIP,0.303
NIP_7,NIP,0.147
NIP_8,NIP,0.189
NIP_9,NIP,0.188
NIP_10,NIP,0.206
NIP_11,NIP,0.226
NIP_12,NIP,0.265
NIP_13,NIP,0.139
NIP_14,NIP,0.138
NIP_15,NIP,0.265
NIP_16,NIP,0.3
NIP_17,NIP,0.233
NIP_18,NIP,0.3
NIP_19,NIP,0.25
NIP_20,NIP,0.194
NIP_21,NIP,0.258
NIP_22,NIP,0.29
NIP_23,NIP,0.182
NIP_24,NIP,0.281
NIP_25,NIP,0.156
NIP_26,NIP,0.323
NIP_27,NIP,0.323
NIP_28,NIP,0.206
NIP_29,NIP,0.154
NIP_30,NIP,0.258
NIP_31,NIP,0.182
NIP_32,NIP,0.414
NIP_33,NIP,0.258
NIP_34,NIP,0.206
NIP_35,NIP,0.111
NIP_36,NIP,0.25
NIP_37,NIP,0.171
NIP_38,NIP,0.176
NIP_39,NIP,0.31
NIP_40,NIP,0.242
NIP_41,NIP,0.171
NIP_42,NIP,0.3
NIP_43,NIP,0.265
NIP_44,NIP,0.171
NIP_45,NIP,0.25
NIP_46,NIP,0.258
NIP_47,NIP,0.176
NIP_48,NIP,0.147
NIP_49,NIP,0.294
SB2_0,SB2,0.421
SB2_1,SB2,0.286
SB2_2,SB2,0.421
SB2_3,SB2,0.345
SB2_4,SB2,0.262
SB2_5,SB2,0.421
SB2_6,SB2,0.35
SB2_7,SB2,0.256
SB2_8,SB2,0.286
SB2_9,SB2,0.227
SB2_10,SB2,0.174
SB2_11,SB2,0.385
SB2_12,SB2,0.227
SB2_13,SB2,0.222
SB2_14,SB2,0.459
SB2_15,SB2,0.35
SB2_16,SB2,0.35
SB2_17,SB2,0.227
SB2_18,SB2,0.227
SB2_19,SB2,0.256
SB2_20,SB2,0.385
SB2_21,SB2,0.385
SB2_22,SB2,0.421
SB2_23,SB2,0.256
SB2_24,SB2,0.385
SB2_25,SB2,0.636
SB2_26,SB2,0.286
SB2_27,SB2,0.35
SB2_28,SB2,0.459
SB2_29,SB2,0.35
SB2_30,SB2,0.385
SB2_31,SB2,0.2
SB2_32,SB2,0.2
SB2_33,SB2,0.321
SB2_34,SB2,0.227
SB2_35,SB2,0.385
SB2_36,SB2,0.256
SB2_37,SB2,0.688
SB2_38,SB2,0.342
SB2_39,SB2,0.317
SB2_40,SB2,0.325
SB2_41,SB2,0.385
SB2_42,SB2,0.5
SB2_43,SB2,0.259
SB2_44,SB2,0.286
SB2_45,SB2,0.185
SB2_46,SB2,0.281
SB2_47,SB2,0.256
SB2_48,SB2,0.35
SB2_49,SB2,0.35
ALZ_0,ALZ,0.2
ALZ_1,ALZ,0.2
ALZ_2,ALZ,0.231
ALZ_3,ALZ,0.171
ALZ_4,ALZ,0.231
ALZ_5,ALZ,0.231
ALZ_6,ALZ,0.231
ALZ_7,ALZ,0.263
ALZ_8,ALZ,0.2
ALZ_9,ALZ,0.231
ALZ_10,ALZ,0.2
ALZ_11,ALZ,0.231
ALZ_12,ALZ,0.2
ALZ_13,ALZ,0.314
ALZ_14,ALZ,0.231
ALZ_15,ALZ,0.222
ALZ_16,ALZ,0.257
ALZ_17,ALZ,0.25
ALZ_18,ALZ,0.263
ALZ_19,ALZ,0.231
ALZ_20,ALZ,0.2
ALZ_21,ALZ,0.263
ALZ_22,ALZ,0.231
ALZ_23,ALZ,0.333
ALZ_24,ALZ,0.231
ALZ_25,ALZ,0.237
ALZ_26,ALZ,0.263
ALZ_27,ALZ,0.2
ALZ_28,ALZ,0.222
ALZ_29,ALZ,0.263
ALZ_30,ALZ,0.231
ALZ_31,ALZ,0.267
ALZ_32,ALZ,0.2
ALZ_33,ALZ,0.207
ALZ_34,ALZ,0.222
ALZ_35,ALZ,0.297
ALZ_36,ALZ,0.25
ALZ_37,ALZ,0.231
ALZ_38,ALZ,0.281
ALZ_39,ALZ,0.231
ALZ_40,ALZ,0.2
ALZ_41,ALZ,0.2
ALZ_42,ALZ,0.231
ALZ_43,ALZ,0.231
ALZ_44,ALZ,0.229
ALZ_45,ALZ,0.263
ALZ_46,ALZ,0.231
ALZ_47,ALZ,0.286
ALZ_48,ALZ,0.265
ALZ_49,ALZ,0.375
RDC_0,RDC,0.351
RDC_1,RDC,0.567
RDC_2,RDC,0.613
RDC_3,RDC,0.613
RDC_4,RDC,0.471
RDC_5,RDC,0.429
RDC_6,RDC,0.444
RDC_7,RDC,0.516
RDC_8,RDC,0.361
RDC_9,RDC,0.613
RDC_10,RDC,0.316
RDC_11,RDC,0.414
RDC_12,RDC,0.515
RDC_13,RDC,0.455
RDC_14,RDC,0.429
RDC_15,RDC,0.351
RDC_16,RDC,0.581
RDC_17,RDC,0.556
RDC_18,RDC,0.48
RDC_19,RDC,0.562
RDC_20,RDC,0.412
RDC_21,RDC,0.192
RDC_22,RDC,0.586
RDC_23,RDC,0.471
RDC_24,RDC,0.485
RDC_25,RDC,0.552
RDC_26,RDC,0.533
RDC_27,RDC,0.567
RDC_28,RDC,0.471
RDC_29,RDC,0.4
RDC_30,RDC,0.515
RDC_31,RDC,0.515
RDC_32,RDC,0.361
RDC_33,RDC,0.531
RDC_34,RDC,0.471
RDC_35,RDC,0.4
RDC_36,RDC,0.389
RDC_37,RDC,0.515
RDC_38,RDC,0.25
RDC_39,RDC,0.324
RDC_40,RDC,0.406
RDC_41,RDC,0.28
RDC_42,RDC,0.389
RDC_43,RDC,0.407
RDC_44,RDC,0.471
RDC_45,RDC,0.6
RDC_46,RDC,0.429
RDC_47,RDC,0.533
RDC_48,RDC,0.382
RDC_49,RDC,0.562
SB4_0,SB4,0.471
SB4_1,SB4,0.548
SB4_2,SB4,0.297
SB4_3,SB4,0.485
SB4_4,SB4,0.667
SB4_5,SB4,0.351
SB4_6,SB4,0.471
SB4_7,SB4,0.324
SB4_8,SB4,0.389
SB4_9,SB4,0.194
SB4_10,SB4,0.4
SB4_11,SB4,0.571
SB4_12,SB4,0.361
SB4_13,SB4,0.37
SB4_14,SB4,0.515
SB4_15,SB4,0.361
SB4_16,SB4,0.471
SB4_17,SB4,0.471
SB4_18,SB4,0.36
SB4_19,SB4,0.556
SB4_20,SB4,0.515
SB4_21,SB4,0.389
