name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,TotalPackStat,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,VdwSA,Class,PDB_code
actives_best/mini_1a28_model0_chainB_STR_resi2__chainB.pdb,-0.1840057341798089,701.4000000000015,0.8464464921734945,0.1535535078265054,-36.06820207232033,-37.320398989863634,12.820608860657783,-1.9204432183960307,-2.1790528930147843,0.0,-1.58594862097204,5.090077998965966,1.0,0.031511,7.0,422,32,18,25,1,0,0,0,0,0,-51305.77520561695,1,26,4918,1062,1104,127,0,0,0,0,447,100,106,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238095,2,0,4.723500000000005,34.14,395.7952909294096,1,1A28_STR
actives_best/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB.pdb,-0.0519478711775203,594.8000000000011,0.6368493718197905,0.3631506281802095,-23.787336596602927,-25.50193952433324,4.7204310646353065,6.557934134178368,-3.280292922758804,0.0,-3.415020983081593,19.02327383044656,2.0,0.0134679999999999,6.0,0,124,142,0,0,2,0,0,0,0,-292682.66590545094,6,32,1825,474,463,0,351,91,86,1,900,224,228,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714285714285,4,4,1.4955,126.94,380.6757415914592,1,1A6V_NPC
actives_best/mini_1a9u_model0_chainA_SB2_resi800__chainA.pdb,-0.021131932053156,647.2000000000007,0.7414203613535144,0.2585796386464856,-30.784102202994973,-30.858528016407035,9.34608359377006,3.3162314809890177,-4.277781288244114,-2.3039540997263828,-1.614635002549079,1.1954884759860438,2.0,0.0057809999999999,0.0,11,229,76,0,37,7,0,0,0,0,-111058.58252444705,2,36,3143,804,885,29,450,122,131,6,58,18,25,0,218,43,48,1,0,0,0,0,70,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,3,1,4.682200000000003,58.64,433.5744128839511,1,1A9U_SB2
actives_best/mini_1afe_model0_chainH_ALZ_resi600__chainH.pdb,-0.1376642195518338,796.5,0.5671998051683392,0.4328001948316607,-27.89799687124309,-33.24686442889538,5.727227644853713,13.372525997216826,-3.956453406575178,-4.134600229289312,-1.3053707313459526,5.6868371257229695,4.0,0.011117,2.0,0,11,303,0,14,76,0,0,0,2,-102408.26900438603,4,21,2507,629,753,54,688,182,223,17,442,111,139,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5294117647058824,5,3,1.1473000000000009,96.69,452.60175521886976,1,1AFE_ALZ
actives_best/mini_1bgq_model0_chainA_RDC_resi300__chainA.pdb,-0.192829818951445,724.1000000000004,0.7681287558419929,0.231871244158007,-29.778310238661103,-28.45600688538116,5.677146015327139,4.307935283334132,-6.241739607079239,0.0,-2.048789248325047,6.096973244986399,1.0,0.0055129999999999,4.0,149,106,30,20,12,0,0,0,0,0,87548.67538859152,1,20,3065,786,969,18,0,0,0,0,1060,267,328,6,0,0,0,0,0,0,0,0,0,0,0,0,209,51,60,1,0,0,0,0,0,0,0,0,0.3333333333333333,6,2,2.691600000000001,96.36,402.4560488498645,1,1BGQ_RDC
actives_best/mini_1bl7_model0_chainA_SB4_resi800__chainA.pdb,-0.1594444653982423,769.3000000000029,0.6826543730463291,0.3173456269536708,-33.16795576480263,-31.7807799151974,7.425656275823258,4.683394022834818,-6.576184087060369,-3.45458390289042,0.0,15.030186694351332,2.0,0.003942,3.0,16,198,135,0,28,16,0,0,0,0,-55590.16654946017,3,28,3148,825,907,29,935,270,285,11,0,0,0,0,218,42,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2777777777777778,6,2,2.6529,81.64999999999999,415.3475321029338,1,1BL7_SB4
actives_best/mini_1bmk_model0_chainA_SB5_resi800__chainA.pdb,-0.1276026008789978,674.2999999999993,0.650346931784692,0.3496530682153079,-34.03912826214298,-31.15440430977651,8.491062510132451,6.478953044152604,-7.651140931127884,-4.029192974635464,-1.718644156230333,18.79848530724469,3.0,0.011718,1.0,16,277,40,0,62,14,0,0,0,0,-88415.15869691054,3,29,2822,708,780,28,757,208,228,10,0,0,0,0,217,44,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2352941176470588,5,1,3.1384000000000016,69.62,384.06682802989775,1,1BMK_SB5
actives_best/mini_1c1c_model0_chainA_612_resi999__chainA.pdb,-0.2361747221879453,811.3999999999978,0.8652497465056275,0.1347502534943724,-39.065667806641386,-39.52033966947874,9.175647335030476,0.9318806144910924,-2.710498452203637,-1.0346428697441752,0.0,17.03452569697859,1.0,0.000724,3.0,0,405,40,0,54,11,0,0,0,0,-87000.44356205013,1,27,3198,746,767,10,401,97,96,0,597,145,146,0,0,0,0,0,0,0,0,0,216,49,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,5,1,3.078800000000001,64.09,418.617952120875,1,1C1C_612
actives_best/mini_1c1e_model0_chainH_ENH_resi703__chainH.pdb,-0.1276789488009608,567.3000000000011,0.7317664672286823,0.2682335327713177,-22.19610995454235,-23.33186203019136,4.687748016802971,4.284915053042028,-1.849443357437849,0.0,-1.3999080275028604,4.28435112944169,1.0,0.0057719999999999,6.0,0,121,37,0,6,12,0,0,0,0,-32415.951038290485,1,16,1265,347,357,17,144,39,41,2,292,78,81,4,0,0,0,0,0,0,0,0,0,0,0,0,632,189,180,8,0,0,0,0,0,0,0,0,0.6,2,0,3.062900000000001,37.38,268.0501689879224,1,1C1E_ENH
actives_best/mini_1c5q_model0_chainA_ESI_resi246__chainA_altB.pdb,-0.1347784949143387,488.4099999999999,0.514887566623736,0.485112433376264,-24.28335604558538,-24.600095255301312,2.91437537807019,16.28908688318063,-9.714875114947631,-1.8327554680588487,-2.7131660252637886,5.054230518229017,4.0,0.0191399999999999,6.0,0,32,91,0,23,40,0,0,0,0,-306341.164911077,4,9,1394,394,489,43,383,109,120,9,0,0,0,0,0,0,0,0,0,0,0,0,187,55,63,6,0,0,0,0,0,0,0,0,121,37,43,2,0.0,1,2,0.9702999999999998,51.61,226.58382884215652,1,1C5Q_ESI
