Name,Active,MCS
STR_1,STR,0.214
STR_2,STR,0.286
STR_3,STR,0.286
STR_4,STR,0.429
STR_5,STR,0.152
STR_6,STR,0.242
STR_7,STR,0.219
STR_8,STR,0.367
STR_9,STR,0.414
STR_10,STR,0.333
STR_11,STR,0.257
STR_12,STR,0.444
STR_13,STR,0.176
STR_14,STR,0.345
STR_15,STR,0.226
STR_16,STR,0.273
STR_17,STR,0.444
STR_18,STR,0.444
STR_19,STR,0.161
STR_20,STR,0.156
STR_21,STR,0.207
STR_22,STR,0.481
STR_23,STR,0.161
STR_24,STR,0.556
STR_25,STR,0.133
STR_26,STR,0.448
STR_27,STR,0.267
STR_28,STR,0.281
STR_29,STR,0.519
STR_30,STR,0.5
STR_31,STR,0.25
STR_32,STR,0.171
STR_33,STR,0.212
STR_34,STR,0.429
STR_35,STR,0.258
STR_36,STR,0.25
STR_37,STR,0.556
STR_38,STR,0.222
STR_39,STR,0.222
STR_40,STR,0.171
STR_41,STR,0.171
STR_42,STR,0.206
STR_43,STR,0.167
STR_44,STR,0.167
STR_45,STR,0.483
STR_46,STR,0.448
STR_47,STR,0.429
STR_48,STR,0.171
STR_49,STR,0.233
STR_50,STR,0.333
MDC_1,MDC,0.244
MDC_2,MDC,0.227
MDC_3,MDC,0.209
MDC_4,MDC,0.302
MDC_5,MDC,0.174
MDC_6,MDC,0.256
MDC_7,MDC,0.244
MDC_8,MDC,0.17
MDC_9,MDC,0.191
MDC_10,MDC,0.205
MDC_11,MDC,0.17
MDC_12,MDC,0.273
MDC_13,MDC,0.31
MDC_14,MDC,0.205
MDC_15,MDC,0.35
MDC_16,MDC,0.244
MDC_17,MDC,0.191
MDC_18,MDC,0.178
MDC_19,MDC,0.174
MDC_20,MDC,0.244
MDC_21,MDC,0.222
MDC_22,MDC,0.227
MDC_23,MDC,0.209
MDC_24,MDC,0.333
MDC_25,MDC,0.279
MDC_26,MDC,0.182
MDC_27,MDC,0.279
MDC_28,MDC,0.333
MDC_29,MDC,0.256
MDC_30,MDC,0.182
MDC_31,MDC,0.357
MDC_32,MDC,0.233
MDC_33,MDC,0.375
MDC_34,MDC,0.222
MDC_35,MDC,0.267
MDC_36,MDC,0.366
MDC_37,MDC,0.217
MDC_38,MDC,0.2
MDC_39,MDC,0.244
MDC_40,MDC,0.286
MDC_41,MDC,0.256
MDC_42,MDC,0.325
MDC_43,MDC,0.196
MDC_44,MDC,0.341
MDC_45,MDC,0.2
MDC_46,MDC,0.195
MDC_47,MDC,0.302
MDC_48,MDC,0.238
MDC_49,MDC,0.333
MDC_50,MDC,0.174
NPC_1,NPC,0.306
NPC_2,NPC,0.231
NPC_3,NPC,0.184
NPC_4,NPC,0.205
NPC_5,NPC,0.211
NPC_6,NPC,0.353
NPC_7,NPC,0.184
NPC_8,NPC,0.235
NPC_9,NPC,0.195
NPC_10,NPC,0.289
NPC_11,NPC,0.324
NPC_12,NPC,0.387
NPC_13,NPC,0.4
NPC_14,NPC,0.216
NPC_15,NPC,0.229
NPC_16,NPC,0.265
NPC_17,NPC,0.167
NPC_18,NPC,0.211
NPC_19,NPC,0.229
NPC_20,NPC,0.179
NPC_21,NPC,0.237
NPC_22,NPC,0.2
NPC_23,NPC,0.229
NPC_24,NPC,0.226
NPC_25,NPC,0.273
NPC_26,NPC,0.237
NPC_27,NPC,0.237
NPC_28,NPC,0.222
NPC_29,NPC,0.231
NPC_30,NPC,0.2
NPC_31,NPC,0.441
NPC_32,NPC,0.25
NPC_33,NPC,0.237
NPC_34,NPC,0.286
NPC_35,NPC,0.147
NPC_36,NPC,0.176
NPC_37,NPC,0.235
NPC_38,NPC,0.25
NPC_39,NPC,0.586
NPC_40,NPC,0.414
NPC_41,NPC,0.235
NPC_42,NPC,0.171
NPC_43,NPC,0.206
NPC_44,NPC,0.429
NPC_45,NPC,0.194
NPC_46,NPC,0.235
NPC_47,NPC,0.211
NPC_48,NPC,0.243
NPC_49,NPC,0.353
NPC_50,NPC,0.333
NPC_51,NPC,0.216
NPC_52,NPC,0.194
NPC_53,NPC,0.179
NPC_54,NPC,0.265
NPC_55,NPC,0.265
NPC_56,NPC,0.273
NPC_57,NPC,0.273
NPC_58,NPC,0.303
NPC_59,NPC,0.303
NPC_60,NPC,0.344
NPC_61,NPC,0.222
NPC_62,NPC,0.278
NPC_63,NPC,0.324
NPC_64,NPC,0.343
NPC_65,NPC,0.25
NPC_66,NPC,0.222
NPC_67,NPC,0.265
NPC_68,NPC,0.278
NPC_69,NPC,0.2
NPC_70,NPC,0.2
NPC_71,NPC,0.25
NPC_72,NPC,0.273
NPC_73,NPC,0.344
NPC_74,NPC,0.265
NPC_75,NPC,0.194
NPC_76,NPC,0.2
NPC_77,NPC,0.162
NPC_78,NPC,0.265
NPC_79,NPC,0.265
NPC_80,NPC,0.273
NPC_81,NPC,0.355
NPC_82,NPC,0.355
NPC_83,NPC,0.355
NPC_84,NPC,0.344
NPC_85,NPC,0.448
NPC_86,NPC,0.344
NPC_87,NPC,0.4
NPC_88,NPC,0.387
NPC_89,NPC,0.387
NPC_90,NPC,0.242
NPC_91,NPC,0.229
NPC_92,NPC,0.229
NPC_93,NPC,0.303
NPC_94,NPC,0.273
NPC_95,NPC,0.265
NPC_96,NPC,0.222
NPC_97,NPC,0.167
NPC_98,NPC,0.167
NPC_99,NPC,0.229
NPC_100,NPC,0.229
NIP_1,NIP,0.214
NIP_2,NIP,0.2
NIP_3,NIP,0.317
NIP_4,NIP,0.205
NIP_5,NIP,0.163
NIP_6,NIP,0.256
NIP_7,NIP,0.216
NIP_8,NIP,0.262
NIP_9,NIP,0.209
NIP_10,NIP,0.233
NIP_11,NIP,0.268
NIP_12,NIP,0.196
NIP_13,NIP,0.222
NIP_14,NIP,0.163
NIP_15,NIP,0.163
NIP_16,NIP,0.174
NIP_17,NIP,0.35
NIP_18,NIP,0.395
NIP_19,NIP,0.486
NIP_20,NIP,0.359
NIP_21,NIP,0.325
NIP_22,NIP,0.35
NIP_23,NIP,0.244
NIP_24,NIP,0.486
NIP_25,NIP,0.239
NIP_26,NIP,0.217
NIP_27,NIP,0.213
NIP_28,NIP,0.233
NIP_29,NIP,0.196
NIP_30,NIP,0.205
NIP_31,NIP,0.227
NIP_32,NIP,0.425
NIP_33,NIP,0.262
NIP_34,NIP,0.529
NIP_35,NIP,0.182
NIP_36,NIP,0.159
NIP_37,NIP,0.262
NIP_38,NIP,0.209
NIP_39,NIP,0.196
NIP_40,NIP,0.163
NIP_41,NIP,0.275
NIP_42,NIP,0.205
NIP_43,NIP,0.317
NIP_44,NIP,0.256
NIP_45,NIP,0.205
NIP_46,NIP,0.268
