name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,TotalPackStat,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,VdwSA
decoys_minimizations/mini_1a28_model0_chainB_STR_resi2__chainB_hits_1_decoy_STR_11_1.pdb,-0.2103698556096058,662.3999999999996,0.8498221307036736,0.1501778692963263,-31.396485979456088,-27.85440210302681,6.195487530205696,-5.359037525794975,-0.4504230482276057,0.0,0.0,0.7120074365564556,0.0,0.026208,4.0,266,28,1,10,0,0,0,0,0,0,-94628.87152526504,0,17,3563,796,804,92,241,56,54,6,235,48,53,6,923,209,198,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2666666666666666,2,0,4.154200000000002,22.0,315.9589112615294
decoys_minimizations/mini_1a28_model0_chainB_STR_resi2__chainB_hits_1_decoy_STR_30_0.pdb,-0.1935270123034125,670.9000000000015,0.8032704481700544,0.1967295518299455,-31.63255641352441,-29.817796981305264,7.263091214423184,-5.623014820173921,-0.1334645895547055,0.0,0.0,4.239883586008199,0.0,0.0187769999999999,5.0,268,30,16,12,0,0,0,0,0,0,-33949.349242819175,0,15,3541,778,798,92,454,95,114,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,103,107,12,0,0,0,0,0,0,0,0,0.4,2,0,4.076820000000003,17.82,345.62707841146033
decoys_minimizations/mini_1a28_model0_chainB_STR_resi2__chainB_hits_1_decoy_STR_40_11.pdb,-0.2033385386153396,674.7000000000007,0.843648287799316,0.1563517122006839,-28.39617268326333,-28.505275442103084,8.403583823883366,-3.15878011511154,-0.51174134829904,0.0,0.0,-0.4650108827886474,0.0,0.02168,4.0,283,41,0,25,3,0,0,0,0,0,-3034.8720352006435,0,16,3282,740,739,86,478,104,104,12,0,0,0,0,233,55,62,7,0,0,0,0,0,0,0,0,0,0,0,0,238,46,54,6,0,0,0,0,0.5714285714285714,2,0,3.262700000000001,6.48,327.5827394736229
decoys_minimizations/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_hits_1_decoy_NPC_48_70.pdb,0.0492848057848746,495.4000000000015,0.5622088022729271,0.4377911977270729,-13.48132786332269,-17.740530111423823,3.583684297411139,2.583727654714039,-1.4615443108913269,0.0,-0.1819944281443319,9.220647151173646,1.0,0.0102149999999999,4.0,0,67,120,0,0,7,0,0,0,0,36123.71746900836,0,27,1722,417,459,0,100,28,29,0,484,112,141,0,0,0,0,0,0,0,0,0,97,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,4,2,2.7878000000000007,100.54,372.03652927984047
decoys_minimizations/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_hits_1_decoy_NPC_81_152.pdb,-0.0321937872549078,594.8000000000011,0.5390252321482112,0.4609747678517888,-19.42295052483655,-22.293594026605888,6.601906590314002,1.5645962226592474,-2.105648669363802,0.0,-0.9237514700569704,4.065663126961751,1.0,0.012915,7.0,0,175,124,0,0,7,0,0,0,0,-36713.28628124469,4,30,1680,428,425,1,654,171,164,0,290,63,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6153846153846154,4,3,1.8211,96.25,381.9848544097539
decoys_minimizations/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_hits_1_decoy_NPC_82_56.pdb,0.021190851707558,550.1000000000004,0.6557059438416754,0.3442940561583246,-20.553914851527907,-20.46867265050537,6.030679074540956,3.1159602604686825,-5.059938017064894,0.0,-1.5270416280540893,3.3085515810810344,2.0,0.010358,6.0,0,166,93,0,0,2,0,0,0,0,-150714.16698333924,4,28,1608,406,407,0,724,185,172,0,291,71,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6153846153846154,4,3,1.8211,96.25,381.0740843227579
decoys_minimizations/mini_1a9u_model0_chainA_SB2_resi800__chainA_hits_1_decoy_SB2_39_14.pdb,0.0138840503588261,544.2000000000007,0.585435063575366,0.414564936424634,-16.734088685853067,-15.90763405128564,4.084472400116795,2.916433635639578,-3.825198353796395,0.0,-1.5055249410179383,0.7167929686601952,1.0,-0.005712,4.0,12,105,67,0,6,1,0,0,1,1,-87911.10703407087,1,18,2149,579,644,19,390,103,127,3,94,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,41,41,2,0,0,0,0,0.5,3,1,3.8401000000000014,41.150000000000006,386.5962706963074
decoys_minimizations/mini_1a9u_model0_chainA_SB2_resi800__chainA_hits_1_decoy_SB2_42_74.pdb,-0.0913944679721023,677.0,0.6623393620406145,0.3376606379593855,-26.810081782915745,-28.85467061506733,8.152880386130278,2.8623748170598446,-4.760577464650737,0.0,-0.2463006541915788,-0.4343381260048957,1.0,0.0017279999999999,3.0,9,235,59,0,33,3,0,0,0,0,-52186.31141576562,0,27,3032,786,855,32,419,113,129,5,154,39,47,2,358,87,92,3,0,0,0,0,96,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4,1,4.445600000000003,45.23,410.9473562053781
decoys_minimizations/mini_1a9u_model0_chainA_SB2_resi800__chainA_hits_1_decoy_SB2_47_77.pdb,-0.0900869210427472,619.0,0.7014195395443463,0.2985804604556537,-19.457888589283694,-21.635404193870727,6.5314273606395545,2.590500076129956,-3.1475750468928254,-1.119342543637984,0.0,10.43021184644662,1.0,0.016876,1.0,14,175,55,0,17,4,0,0,1,0,27974.73567703028,1,16,2247,592,664,26,317,81,94,4,297,84,87,4,0,0,0,0,0,0,0,0,188,50,49,1,0,0,0,0,213,44,48,2,0,0,0,0,0.6,3,1,2.9179000000000013,49.41,375.5085902133496
decoys_minimizations/mini_1afe_model0_chainH_ALZ_resi600__chainH_hits_1_decoy_ALZ_23_116.pdb,-0.0570563796499137,614.9000000000015,0.6226587144890643,0.3773412855109357,-13.576545884020106,-21.07059590616336,4.974114562506827,7.4424930905914835,-1.471236743109216,-1.7784909364191677,0.0,7.395323598386766,1.0,-0.0019169999999999,7.0,0,1,246,0,10,12,0,0,1,0,-60398.96748622404,1,15,1642,409,473,30,601,152,177,12,321,79,89,7,0,0,0,0,0,0,0,0,100,25,28,1,105,27,22,1,0,0,0,0,0,0,0,0,0.5833333333333334,4,3,-0.9398999999999962,103.51,372.4683179767121
