Name,Active,MCS
STR_1,STR,0.312
STR_2,STR,0.567
STR_3,STR,0.206
STR_4,STR,0.243
STR_5,STR,0.406
STR_6,STR,0.333
STR_7,STR,0.229
STR_8,STR,0.179
STR_9,STR,0.211
STR_10,STR,0.205
STR_11,STR,0.448
STR_12,STR,0.206
STR_13,STR,0.222
STR_14,STR,0.184
STR_15,STR,0.265
STR_16,STR,0.281
STR_17,STR,0.175
STR_18,STR,0.205
STR_19,STR,0.333
STR_20,STR,0.278
STR_21,STR,0.205
STR_22,STR,0.2
STR_23,STR,0.306
STR_24,STR,0.225
STR_25,STR,0.176
STR_26,STR,0.412
STR_27,STR,0.211
STR_28,STR,0.467
STR_29,STR,0.189
STR_30,STR,0.211
STR_31,STR,0.25
STR_32,STR,0.257
MDC_1,MDC,0.289
MDC_2,MDC,0.286
MDC_3,MDC,0.216
MDC_4,MDC,0.205
MDC_5,MDC,0.156
MDC_6,MDC,0.417
MDC_7,MDC,0.353
MDC_8,MDC,0.351
MDC_9,MDC,0.3
MDC_10,MDC,0.297
MDC_11,MDC,0.2
MDC_12,MDC,0.282
MDC_13,MDC,0.333
MDC_14,MDC,0.268
MDC_15,MDC,0.308
MDC_16,MDC,0.278
MDC_17,MDC,0.297
MDC_18,MDC,0.244
MDC_19,MDC,0.256
MDC_20,MDC,0.316
MDC_21,MDC,0.262
MDC_22,MDC,0.237
MDC_23,MDC,0.237
MDC_24,MDC,0.361
MDC_25,MDC,0.289
MDC_26,MDC,0.167
MDC_27,MDC,0.263
MDC_28,MDC,0.237
MDC_29,MDC,0.286
MDC_30,MDC,0.3
MDC_31,MDC,0.268
MDC_32,MDC,0.308
NPC_1,NPC,0.088
NPC_2,NPC,0.182
NPC_3,NPC,0.346
NPC_4,NPC,0.296
NPC_5,NPC,0.333
NPC_6,NPC,0.333
NPC_7,NPC,0.346
NPC_8,NPC,0.267
NPC_9,NPC,0.265
NPC_10,NPC,0.167
NPC_11,NPC,0.171
NPC_12,NPC,0.184
NPC_13,NPC,0.286
NPC_14,NPC,0.162
NPC_15,NPC,0.267
NPC_16,NPC,0.367
NPC_17,NPC,0.258
NPC_18,NPC,0.241
NPC_19,NPC,0.233
NPC_20,NPC,0.257
NPC_21,NPC,0.206
NPC_22,NPC,0.314
NPC_23,NPC,0.265
NPC_24,NPC,0.194
NPC_25,NPC,0.267
NPC_26,NPC,0.282
NPC_27,NPC,0.167
NPC_28,NPC,0.316
NPC_29,NPC,0.194
NPC_30,NPC,0.379
NPC_31,NPC,0.229
NPC_32,NPC,0.216
NIP_1,NIP,0.143
NIP_2,NIP,0.25
NIP_3,NIP,0.231
NIP_4,NIP,0.158
NIP_5,NIP,0.239
NIP_6,NIP,0.286
NIP_7,NIP,0.195
NIP_8,NIP,0.282
NIP_9,NIP,0.452
NIP_10,NIP,0.429
NIP_11,NIP,0.211
NIP_12,NIP,0.171
NIP_13,NIP,0.312
NIP_14,NIP,0.152
NIP_15,NIP,0.211
NIP_16,NIP,0.312
NIP_17,NIP,0.353
NIP_18,NIP,0.216
NIP_19,NIP,0.2
NIP_20,NIP,0.216
NIP_21,NIP,0.211
NIP_22,NIP,0.289
NIP_23,NIP,0.263
NIP_24,NIP,0.176
NIP_25,NIP,0.19
NIP_26,NIP,0.205
NIP_27,NIP,0.2
NIP_28,NIP,0.211
NIP_29,NIP,0.132
NIP_30,NIP,0.273
NIP_31,NIP,0.158
NIP_32,NIP,0.244
SB2_1,SB2,0.441
SB2_2,SB2,0.214
SB2_3,SB2,0.405
SB2_4,SB2,0.244
SB2_5,SB2,0.278
SB2_6,SB2,0.333
SB2_7,SB2,0.282
SB2_8,SB2,0.297
SB2_9,SB2,0.342
SB2_10,SB2,0.343
SB2_11,SB2,0.424
SB2_12,SB2,0.516
SB2_13,SB2,0.4
SB2_14,SB2,0.342
SB2_15,SB2,0.433
SB2_16,SB2,0.278
SB2_17,SB2,0.3
SB2_18,SB2,0.424
SB2_19,SB2,0.282
SB2_20,SB2,0.262
SB2_21,SB2,0.25
SB2_22,SB2,0.333
SB2_23,SB2,0.429
SB2_24,SB2,0.333
SB2_25,SB2,0.256
SB2_26,SB2,0.282
SB2_27,SB2,0.205
SB2_28,SB2,0.244
SB2_29,SB2,0.324
SB2_30,SB2,0.441
SB2_31,SB2,0.281
SB2_32,SB2,0.211
ALZ_1,ALZ,0.216
ALZ_2,ALZ,0.25
ALZ_3,ALZ,0.237
ALZ_4,ALZ,0.184
ALZ_5,ALZ,0.278
ALZ_6,ALZ,0.483
ALZ_7,ALZ,0.154
ALZ_8,ALZ,0.314
ALZ_9,ALZ,0.225
ALZ_10,ALZ,0.243
ALZ_11,ALZ,0.229
ALZ_12,ALZ,0.29
ALZ_13,ALZ,0.195
ALZ_14,ALZ,0.237
ALZ_15,ALZ,0.19
ALZ_16,ALZ,0.211
ALZ_17,ALZ,0.211
ALZ_18,ALZ,0.289
ALZ_19,ALZ,0.205
ALZ_20,ALZ,0.2
ALZ_21,ALZ,0.225
ALZ_22,ALZ,0.171
ALZ_23,ALZ,0.231
ALZ_24,ALZ,0.235
ALZ_25,ALZ,0.243
ALZ_26,ALZ,0.206
ALZ_27,ALZ,0.184
ALZ_28,ALZ,0.273
ALZ_29,ALZ,0.237
ALZ_30,ALZ,0.265
ALZ_31,ALZ,0.222
ALZ_32,ALZ,0.195
ZYA_1,ZYA,0.171
ZYA_2,ZYA,0.209
ZYA_3,ZYA,0.316
ZYA_4,ZYA,0.268
ZYA_5,ZYA,0.25
ZYA_6,ZYA,0.324
ZYA_7,ZYA,0.333
ZYA_8,ZYA,0.317
ZYA_9,ZYA,0.25
ZYA_10,ZYA,0.268
ZYA_11,ZYA,0.25
ZYA_12,ZYA,0.167
ZYA_13,ZYA,0.205
ZYA_14,ZYA,0.244
ZYA_15,ZYA,0.275
ZYA_16,ZYA,0.262
ZYA_17,ZYA,0.333
ZYA_18,ZYA,0.293
ZYA_19,ZYA,0.282
ZYA_20,ZYA,0.35
ZYA_21,ZYA,0.389
ZYA_22,ZYA,0.325
ZYA_23,ZYA,0.31
ZYA_24,ZYA,0.256
ZYA_25,ZYA,0.333
ZYA_26,ZYA,0.333
ZYA_27,ZYA,0.238
ZYA_28,ZYA,0.405
ZYA_29,ZYA,0.368
ZYA_30,ZYA,0.293
ZYA_31,ZYA,0.25
ZYA_32,ZYA,0.25
NPE_1,NPE,0.179
NPE_2,NPE,0.077
NPE_3,NPE,0.269
NPE_4,NPE,0.179
NPE_5,NPE,0.321
NPE_6,NPE,0.2
NPE_7,NPE,0.163
NPE_8,NPE,0.259
NPE_9,NPE,0.194
NPE_10,NPE,0.269
NPE_11,NPE,0.241
NPE_12,NPE,0.143
NPE_13,NPE,0.186
NPE_14,NPE,0.175
NPE_15,NPE,0.2
NPE_16,NPE,0.205
NPE_17,NPE,0.184
NPE_18,NPE,0.176
NPE_19,NPE,0.258
NPE_20,NPE,0.152
NPE_21,NPE,0.189
NPE_22,NPE,0.189
NPE_23,NPE,0.269
NPE_24,NPE,0.184
NPE_25,NPE,0.28
