name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,TotalPackStat,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,VdwSA
decoys_minimizations_2/mini_1a28_model0_chainB_STR_resi2__chainB_hits_1_decoy_STR_16_4.pdb,-0.1959612292646753,608.5999999999985,0.7978989999818978,0.2021010000181021,-25.10208618561489,-28.475765193106557,8.842924113756567,-0.532914901506274,-0.3967671195790672,0.0,0.0,2.510025307974401,0.0,0.0082599999999999,9.0,246,27,0,43,0,0,0,0,0,0,20303.91522675948,0,24,3791,813,829,97,477,106,110,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,2,1,4.286820000000002,24.92,286.74429530720187
decoys_minimizations_2/mini_1a28_model0_chainB_STR_resi2__chainB_hits_1_decoy_STR_29_197.pdb,-0.1883593199515787,685.7999999999993,0.834085738773692,0.165914261226308,-31.383232791670707,-33.33296761279689,6.929656958164799,-0.4914681856892002,-0.0440710287415981,0.0,0.0,14.474738232636676,0.0,0.020378,10.0,335,20,17,13,0,0,0,0,0,0,1216.6485893365425,0,27,3295,712,754,85,701,155,150,18,704,147,156,19,0,0,0,0,0,0,0,0,0,0,0,0,236,55,51,6,0,0,0,0,0,0,0,0,0.2857142857142857,5,2,2.442699999999999,76.24000000000001,346.33319957555057
decoys_minimizations_2/mini_1a28_model0_chainB_STR_resi2__chainB_hits_1_decoy_STR_7_0.pdb,-0.2021651957880734,659.0999999999985,0.8206416205008896,0.1793583794991103,-26.262572631371427,-27.23725967416408,7.81217296403895,-1.939574316621929,-0.8752565443502363,0.0,0.0,3.110823443335074,0.0,0.009387,8.0,197,30,2,13,0,0,0,0,0,0,7545.456142992192,0,18,3307,740,747,84,232,56,56,6,485,103,116,11,246,50,50,5,0,0,0,0,0,0,0,0,444,101,112,13,0,0,0,0,0,0,0,0,0.0,3,0,4.300900000000001,43.1,269.6105321005629
decoys_minimizations_2/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_hits_1_decoy_NPC_10_82.pdb,-0.028198941963655,515.7999999999993,0.6008009544091814,0.3991990455908186,-12.005628893110044,-18.17814830426505,3.168931685231257,8.096864295859632,-2.446448495221489,7.105427357601002e-15,-1.352223107536357,5.416952918362283,1.0,0.009063,3.0,0,43,93,0,0,6,0,0,0,0,-8837.575720608864,1,12,999,248,257,0,349,79,91,0,439,108,128,0,0,0,0,0,0,0,0,0,326,83,86,0,0,0,0,0,111,29,28,0,0,0,0,0,0.2222222222222222,7,2,0.7787999999999998,114.17999999999998,308.6248132644008
decoys_minimizations_2/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_hits_1_decoy_NPC_14_173.pdb,-0.0845146800525964,609.0,0.5731812643224565,0.4268187356775434,-22.86853155883989,-23.752322207195903,5.5876486704211175,10.659547628997188,-10.00009004592323,0.0,-5.139736215716983,1.864771275948522,4.0,0.0114219999999999,7.0,0,144,118,0,0,9,0,0,0,1,-226525.66029961023,6,13,1189,293,302,0,121,29,28,0,1479,383,369,2,0,0,0,0,370,101,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8,5,-1.2747999999999995,156.99,380.2145158653784
decoys_minimizations_2/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB_hits_1_decoy_NPC_32_23.pdb,-0.0433862336713817,532.7000000000007,0.6433617144709554,0.3566382855290446,-20.62974950350076,-26.48222338776577,6.956262030809114,7.43658115182393,-6.432507925436823,0.0,-0.8586504434002791,6.122503590866387,1.0,0.0242539999999999,8.0,0,113,91,0,0,7,0,0,0,0,-146393.72625236047,6,20,1716,443,441,0,1003,254,243,2,317,80,84,0,197,47,57,0,0,0,0,0,151,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,1.9456999999999995,100.63,317.1223644839928
decoys_minimizations_2/mini_1a9u_model0_chainA_SB2_resi800__chainA_hits_1_decoy_SB2_12_14.pdb,-0.0123941567128609,514.0,0.7314330879182172,0.2685669120817828,-19.4625821305699,-18.67556712199348,6.334115331088924,-1.394411684349507,-2.403838815892641,0.0,-0.8540781936336117,0.0147477096900365,1.0,0.0008349999999999,5.0,4,182,88,0,10,5,0,0,0,0,-151796.16556430634,1,25,1986,533,590,14,276,74,84,3,157,40,47,1,174,51,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5333333333333333,1,2,4.055100000000002,41.13,361.52458883047575
decoys_minimizations_2/mini_1a9u_model0_chainA_SB2_resi800__chainA_hits_1_decoy_SB2_1_0.pdb,-0.1047320511027478,596.7000000000007,0.6990991398004708,0.3009008601995291,-21.55518182445155,-26.543662958233654,9.173695478846184,1.6154952266119835,-0.7935134840943192,0.0,0.0,15.022062137506456,0.0,-0.0005899999999999,3.0,14,249,45,0,37,5,0,0,1,0,-70498.95488350038,1,25,2836,725,770,32,555,151,172,6,0,0,0,0,0,0,0,0,0,0,0,0,97,29,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,4,2,3.360720000000001,39.66,338.1698830998871
decoys_minimizations_2/mini_1a9u_model0_chainA_SB2_resi800__chainA_hits_1_decoy_SB2_30_11.pdb,0.0114941924191108,464.4000000000015,0.707689443306625,0.2923105566933751,-13.863389111375112,-15.151615431580922,3.4344243881795364,0.6044808173951424,-1.2314778878335346,0.0,0.0,1.9552062315506893,0.0,0.000404,2.0,0,83,81,0,3,0,0,0,0,0,-27522.886794564176,0,21,1802,490,553,13,398,105,129,4,382,106,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333333333333,4,2,3.0467000000000013,87.45000000000002,332.02617427752523
decoys_minimizations_2/mini_1afe_model0_chainH_ALZ_resi600__chainH_hits_1_decoy_ALZ_18_7.pdb,-0.0950826043465231,747.1999999999989,0.6401556466937414,0.3598443533062586,-20.772453771857958,-27.67053343366888,13.243936324017,2.266086411903302,-1.6915689470632742,0.0,-0.2373362702309229,4.378063857705221,1.0,-0.002352,7.0,0,18,295,0,12,41,0,0,0,1,-45907.72292023083,1,29,3026,779,921,64,610,152,195,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,3,1,2.33002,33.46,437.4480055338517
decoys_minimizations_2/mini_1afe_model0_chainH_ALZ_resi600__chainH_hits_1_decoy_ALZ_26_40.pdb,-0.0961640455272703,537.2999999999993,0.6975395430580095,0.3024604569419905,-14.233798583304292,-16.025852915563064,3.673594303943389,1.1825367234715711,-1.058277888198802,0.0,0.0,3.056618702636582,0.0,-0.0086289999999999,3.0,0,0,184,0,4,16,0,0,0,0,-49630.708063977225,0,15,1866,467,548,35,277,76,84,9,115,31,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,25,28,1,0,0,0,0,0.4615384615384615,1,2,0.7293000000000003,47.53,315.1775008759976
decoys_minimizations_2/mini_1afe_model0_chainH_ALZ_resi600__chainH_hits_1_decoy_ALZ_32_42.pdb,-0.0034496115078272,566.7000000000007,0.5498023907290268,0.4501976092709732,-19.3409265191284,-20.59306446320033,5.704464695439242,3.783525002819488,-2.3774174361825544,7.105427357601002e-15,0.0,2.1534878658298804,0.0,0.01027,6.0,0,0,182,0,6,48,0,0,0,1,-21664.30644194305,0,22,2469,606,753,57,652,158,200,18,62,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2631578947368421,5,3,1.4136999999999993,65.72,420.91670241460616
decoys_minimizations_2/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_hits_1_decoy_NPE_13_8.pdb,-0.1588183891680312,862.5,0.797530611031689,0.202469388968311,-24.332125668189065,-30.623567345981428,9.301472675942309,4.398675927930526,-0.282825026209025,0.0,0.0,4.573097676169082,0.0,-0.0058,7.0,0,171,181,0,6,16,0,0,1,0,-44708.41442462038,0,33,3562,898,879,17,635,158,149,5,1049,260,248,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1904761904761904,6,2,1.9243400000000004,137.21999999999997,470.2133025791851
decoys_minimizations_2/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_hits_1_decoy_NPE_17_5.pdb,-0.0943503148561646,663.9000000000015,0.6848908389310749,0.315109161068925,-20.310224779952023,-29.582563054327693,6.8180401195645,13.76474938445699,-4.849379085616988,0.0,-1.5041796280246018,30.786152868363374,1.0,0.0005469999999999,6.0,0,122,164,0,2,15,0,0,1,1,-154532.72661392245,1,34,3007,751,737,15,373,96,96,1,1050,257,247,8,0,0,0,0,0,0,0,0,118,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,5,2,2.42112,103.78,359.5237542801869
decoys_minimizations_2/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_hits_1_decoy_NPE_19_17.pdb,-0.1552770888830719,655.7999999999993,0.6768756206259524,0.3231243793740475,-17.20644502338905,-27.950999440043688,7.826695664357317,11.38329353837753,-4.383600078603536,0.0,0.0,3.357810201389927,0.0,0.0097979999999999,8.0,0,221,126,0,1,19,0,0,0,3,-137058.17231749368,0,17,2166,554,523,14,118,33,30,0,1033,259,259,4,0,0,0,0,183,48,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,3,4,0.0889000000000015,139.54,369.7473260288606
decoys_minimizations_2/mini_1bgq_model0_chainA_RDC_resi300__chainA_hits_1_decoy_RDC_19_17.pdb,-0.1453156856569801,622.8999999999996,0.791498506132079,0.208501493867921,-19.259094044211395,-25.127234913824168,4.298861666884591,4.060686696925359,0.0715140085123948,0.0,0.0,16.09147511528023,0.0,0.016315,1.0,133,101,22,21,12,0,0,0,0,0,86119.13515634807,0,20,2426,631,762,14,198,51,61,1,906,227,276,5,0,0,0,0,0,0,0,0,392,94,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2142857142857142,6,1,2.2703999999999995,81.7,355.0429969332356
decoys_minimizations_2/mini_1bgq_model0_chainA_RDC_resi300__chainA_hits_1_decoy_RDC_26_36.pdb,-0.139769075842137,665.8000000000011,0.7839760902243383,0.2160239097756616,-21.240141429721348,-24.498104591216133,6.367675396157836,1.3513681581860055,-1.165588801437707,0.0,0.0,9.790316236903696,0.0,-0.0021889999999999,3.0,141,104,27,30,4,0,0,0,0,0,141611.8601238242,0,15,2847,732,892,17,256,72,91,2,803,214,260,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,5,1,1.5755999999999994,84.94000000000001,384.290468633421
decoys_minimizations_2/mini_1bgq_model0_chainA_RDC_resi300__chainA_hits_1_decoy_RDC_28_205.pdb,-0.1791570768418742,756.6000000000004,0.661151050214156,0.3388489497858439,-20.88794799916991,-28.24944404073653,6.342504413881045,4.828896878169871,0.3387766483940595,0.0,0.0,8.735186483539747,0.0,-2.599999999997049e-05,17.0,114,96,48,20,13,3,0,0,0,0,15778.094625597034,0,20,3042,766,936,18,592,136,174,3,595,138,173,3,0,0,0,0,0,0,0,0,205,51,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3529411764705882,6,2,2.25332,84.22,429.8634644761332
decoys_minimizations_2/mini_1bl7_model0_chainA_SB4_resi800__chainA_hits_1_decoy_SB4_10_3.pdb,-0.1652111116257695,631.8999999999978,0.7394730454260819,0.2605269545739181,-23.910745548300724,-24.161904004911776,6.169509399885101,1.6722408756349978,-3.385079620106694,0.0,0.0,1.3043487695502307,0.0,0.00204,1.0,8,136,110,0,23,6,0,0,0,0,-60027.97957908154,0,26,2469,628,703,20,626,174,193,6,182,47,54,1,0,0,0,0,0,0,0,0,0,0,0,0,165,45,49,1,0,0,0,0,0,0,0,0,0.2857142857142857,4,1,0.2692999999999993,54.74,328.3439255449873
decoys_minimizations_2/mini_1bl7_model0_chainA_SB4_resi800__chainA_hits_1_decoy_SB4_1_0.pdb,-0.1241663603423868,594.3000000000029,0.6658840152564686,0.3341159847435314,-16.305764902428905,-16.413875508809042,3.4529988388986794,1.4673182660758357,-3.519620366537765,0.0,0.0,3.45104322777932,0.0,0.0018219999999999,3.0,0,121,59,0,9,11,0,0,0,0,-77538.48260456217,0,12,1611,459,520,21,785,223,267,11,342,92,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,7,1,-2.645899999999997,81.66999999999999,356.30759592552977
decoys_minimizations_2/mini_1bl7_model0_chainA_SB4_resi800__chainA_hits_1_decoy_SB4_32_236.pdb,-0.1411748023938133,705.3999999999978,0.6525721218809175,0.3474278781190825,-24.750941958085946,-31.698165241791912,8.170778236983097,5.02568837619765,-0.9692571538417952,-0.731283498211809,0.0,2.397585050173002,1.0,0.0182289999999999,4.0,16,247,86,0,49,21,0,0,0,0,104233.41455457036,2,27,2994,765,836,33,319,86,98,3,518,137,140,5,0,0,0,0,0,0,0,0,191,47,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,3,3,1.7617999999999987,70.84,431.6996245597604
decoys_minimizations_2/mini_1bmk_model0_chainA_SB5_resi800__chainA_hits_1_decoy_SB5_18_279.pdb,-0.139689121589555,657.7999999999993,0.685359867132724,0.314640132867276,-15.306519454865224,-20.07947876738672,5.805011970614601,1.205641240738032,0.7623858660165297,0.0,0.0,3.562582712468512,0.0,0.004658,4.0,22,194,39,0,13,6,0,0,0,0,40968.98521971706,0,12,2217,568,629,23,510,137,156,8,124,31,38,2,0,0,0,0,0,0,0,0,107,31,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3571428571428571,5,1,2.6693,59.81,371.0035247406436
decoys_minimizations_2/mini_1bmk_model0_chainA_SB5_resi800__chainA_hits_1_decoy_SB5_21_9.pdb,-0.1654529474543276,636.0,0.7699689532831764,0.2300310467168236,-24.385908752566134,-26.90495064368406,7.574442016022431,6.426615957802369,-4.093912351103313,-2.176452070803137,-1.1976169122851985,3.196791582076993,2.0,0.004317,2.0,22,232,69,0,31,5,0,0,0,0,-26966.588114520237,2,23,2488,620,658,21,171,43,52,2,622,167,180,8,212,41,46,1,0,0,0,0,168,45,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,1.7895,63.68000000000001,371.1758664627053
decoys_minimizations_2/mini_1bmk_model0_chainA_SB5_resi800__chainA_hits_1_decoy_SB5_8_2.pdb,-0.1638604998766955,705.2999999999993,0.687166713824554,0.312833286175446,-26.649530143716905,-28.37451029139765,9.931373184894484,-1.0392413759936971,-1.0277460688292877,0.0,0.0,6.912926624338211,0.0,0.001446,4.0,23,233,43,0,32,6,0,0,1,0,47067.38870147959,2,21,2794,717,774,27,598,167,179,7,0,0,0,0,0,0,0,0,0,0,0,0,134,37,43,2,195,45,44,2,0,0,0,0,0,0,0,0,0.2352941176470588,5,0,4.204020000000003,43.07,365.1467966270793
decoys_minimizations_2/mini_1c1b_model0_chainA_GCA_resi999__chainA_hits_1_decoy_GCA_14_17.pdb,-0.2406632673622648,771.9000000000015,0.8872219703430423,0.1127780296569577,-27.609598807925977,-29.638678543421065,8.922053519966084,0.8539305167823841,-2.986209661537032,-1.2527355889692586,0.0,33.89950044567586,1.0,0.002455,6.0,0,273,97,0,16,6,0,0,0,0,-66173.84243603327,1,30,2979,696,698,9,596,143,139,0,774,180,190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4,3,1.2070999999999994,102.68,380.6087425319377
decoys_minimizations_2/mini_1c1b_model0_chainA_GCA_resi999__chainA_hits_1_decoy_GCA_25_3.pdb,-0.2506687776382588,687.5,0.8729268958999353,0.1270731041000646,-29.355481790896874,-29.42777294697225,7.761609338140943,-2.747908579273144,-0.8025760173524077,0.0,0.0,0.5734904856507869,0.0,-0.0004389999999999,4.0,0,267,54,0,31,0,0,0,0,0,22641.300968686184,0,37,3492,811,825,6,191,43,48,1,421,97,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1764705882352941,3,0,4.182200000000004,43.1,333.9200086609794
decoys_minimizations_2/mini_1c1b_model0_chainA_GCA_resi999__chainA_hits_1_decoy_GCA_5_22.pdb,-0.2531374719240857,835.5999999999985,0.8704518956297792,0.1295481043702208,-29.799461396920837,-31.18164193227767,9.537691888148174,-2.724361526927624,-0.2004621101521024,0.0,0.0,6.0004549296499,0.0,-0.006552,3.0,0,296,17,0,21,5,0,0,0,0,30364.108888162264,0,32,3950,898,948,12,419,98,106,0,214,49,49,1,0,0,0,0,0,0,0,0,194,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238095238095238,4,0,5.761600000000003,35.010000000000005,391.2399614117754
decoys_minimizations_2/mini_1c1c_model0_chainA_612_resi999__chainA_hits_1_decoy_612_21_287.pdb,-0.2396397560774972,755.3999999999978,0.8567698186600408,0.1432301813399592,-32.36837438032728,-32.32097959863995,7.623823363364409,-1.271261206461986,-1.4133000209562852,0.0,0.0,8.307885076633868,0.0,0.001716,5.0,0,295,38,0,30,13,0,0,0,0,-25643.11378358762,1,37,3576,837,872,13,198,50,47,0,353,84,94,0,0,0,0,0,0,0,0,0,216,51,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,3,1,4.424700000000002,42.09,391.369107657679
decoys_minimizations_2/mini_1c1c_model0_chainA_612_resi999__chainA_hits_1_decoy_612_27_178.pdb,-0.2229618985608097,708.3999999999978,0.8479444377270821,0.1520555622729179,-22.73547897482933,-27.804873092420166,6.425827679985787,3.821839096691747,-0.5563036426133294,0.0,0.0,17.565252133081064,0.0,-0.01138,3.0,0,175,129,0,20,19,0,0,0,0,-35986.814631300964,0,30,2510,592,606,3,793,182,181,4,758,178,186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,7,2,0.6414999999999995,112.5,354.60787022475347
decoys_minimizations_2/mini_1c1c_model0_chainA_612_resi999__chainA_hits_1_decoy_612_6_58.pdb,-0.2272660020278609,668.5,0.8854856244002282,0.1145143755997718,-24.43532459372159,-28.333850340172376,10.306174568218012,1.6119914244313804,-1.6334299601886642,-0.9541290189296632,0.0,0.3985241219578119,1.0,-0.0057679999999999,0.0,0,203,111,0,2,17,0,0,0,0,-54361.1883680513,1,25,2749,636,650,10,379,88,98,0,567,137,142,1,178,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,2,2.4888,67.26,321.1237455543921
decoys_minimizations_2/mini_1c1e_model0_chainH_ENH_resi703__chainH_hits_1_decoy_ENH_12_7.pdb,-0.1598846812568386,563.2999999999993,0.7672064382233804,0.2327935617766195,-16.103157911955748,-17.898595538602876,5.382255717282931,1.9454367133891992,-0.4469049036041497,0.0,0.0,8.482004979868243,0.0,-0.000157,6.0,0,133,27,0,24,11,0,0,0,0,36527.9808021307,0,16,1440,389,409,24,142,36,42,2,274,72,81,3,0,0,0,0,0,0,0,0,0,0,0,0,220,65,61,2,0,0,0,0,0,0,0,0,0.3636363636363636,2,0,2.4658000000000007,29.540000000000003,259.2272996046962
decoys_minimizations_2/mini_1c1e_model0_chainH_ENH_resi703__chainH_hits_1_decoy_ENH_24_1.pdb,-0.1044974368344839,602.0999999999985,0.7077089971057757,0.2922910028942243,-21.914056740491446,-26.12519529767701,5.494259179151186,4.574015204794932,0.0788862258710878,0.0,-0.7933227718721803,1.4113284885988149,1.0,0.005349,4.0,0,138,86,0,32,25,0,0,0,0,49944.703861131886,1,20,1627,462,464,23,354,101,104,4,421,115,116,6,0,0,0,0,0,0,0,0,0,0,0,0,66,18,17,1,0,0,0,0,0,0,0,0,0.2666666666666666,5,0,2.2880000000000003,64.43,340.8553297481695
decoys_minimizations_2/mini_1c1e_model0_chainH_ENH_resi703__chainH_hits_1_decoy_ENH_4_1.pdb,-0.0923143880810435,609.6999999999989,0.6783908149592921,0.3216091850407079,-23.24058420889918,-23.02886252369899,6.304927796060497,1.3077127340255856,-0.6555683184653844,0.0,-1.685899928889036,0.5013750829184254,1.0,0.0018209999999999,6.0,0,184,58,0,38,22,0,0,0,0,-48898.02239955883,1,25,2256,658,649,29,0,0,0,0,343,97,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,3,0,3.6785000000000014,51.21,393.017668992218
